age,genre,revenu_mensuel,nombre_experiences_precedentes,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,% augementation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,est_marie,departement_Consulting,departement_Ressources Humaines,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,poste_level,freq_deplacement_level,ratio_exp_entreprise,revenu_par_age,age_group,satisfaccion_media
36,0,6653,4,7,1,0,4,3,2,4,2,3,3,0,15,0,0,6,1,5,0,0,0,False,False,False,False,False,False,True,5,0,3.5,179.8108108108108,2,3.25
36,1,9699,4,16,13,9,1,2,3,4,1,3,3,0,11,0,1,2,3,4,1,12,1,False,False,False,False,False,False,True,5,2,1.1428571428571428,262.13513513513516,2,2.25
57,1,6755,2,15,3,2,4,3,2,3,3,3,3,0,11,0,0,2,1,4,1,2,1,True,False,False,False,False,False,True,4,1,3.75,116.46551724137932,4,3.25
40,0,2213,3,10,7,7,4,4,1,3,3,3,3,1,13,0,1,3,10,4,1,7,1,True,False,False,True,False,False,False,1,1,1.25,53.97560975609756,2,3.25
21,1,2610,1,3,3,2,1,3,1,4,3,2,4,0,24,0,0,3,9,2,2,2,0,False,False,False,False,False,False,True,6,0,0.75,118.63636363636364,1,2.5
33,0,2851,1,1,1,0,4,3,1,3,2,3,3,1,13,1,0,2,5,3,0,0,0,False,False,False,False,True,False,False,6,1,0.5,83.8529411764706,2,3.0
37,0,3452,6,17,5,4,3,3,1,1,2,3,4,0,20,0,1,3,10,3,0,3,1,True,False,False,False,False,False,True,1,1,2.8333333333333335,90.84210526315789,2,2.25
46,0,5258,2,7,1,0,3,3,2,3,3,4,3,0,14,0,0,2,7,4,0,0,1,True,False,False,False,False,False,True,3,0,3.5,111.87234042553192,3,3.25
41,1,9355,1,8,8,7,1,3,2,2,3,3,3,0,18,1,0,5,4,3,7,7,0,False,False,False,False,True,False,False,5,2,0.8888888888888888,222.73809523809524,3,2.25
50,1,10496,6,20,4,3,4,2,3,4,4,3,3,0,15,0,0,2,10,3,1,3,0,True,False,True,False,False,False,False,4,1,4.0,205.80392156862746,3,3.75
40,1,6380,2,8,6,4,3,2,2,3,1,3,3,1,12,1,2,6,22,2,1,0,1,False,False,False,False,True,False,False,5,1,1.1428571428571428,155.609756097561,2,2.5
31,1,2657,0,3,2,2,3,2,1,2,4,3,3,1,16,0,0,5,9,4,2,2,0,True,False,False,True,False,False,False,2,1,1.0,83.03125,2,3.0
21,0,2716,1,1,1,0,3,4,1,2,4,3,3,0,15,1,0,0,12,3,0,0,0,False,False,False,True,False,False,False,6,1,0.5,123.45454545454545,1,3.0
29,1,2201,9,6,3,2,4,3,1,4,4,3,3,0,16,0,0,4,23,3,1,2,0,True,False,False,True,False,False,False,2,1,1.5,73.36666666666666,1,3.75
35,1,6540,9,10,1,1,3,2,2,2,3,3,3,0,19,0,0,5,9,4,0,0,0,True,False,False,True,False,False,False,4,1,5.0,181.66666666666666,2,2.75
27,1,3816,1,5,5,2,4,3,1,2,2,3,3,0,11,0,1,2,1,2,0,4,0,True,False,False,False,False,False,True,1,1,0.8333333333333334,136.28571428571428,1,2.75
28,1,5253,1,7,7,5,2,3,2,4,4,3,3,0,16,0,0,1,9,4,0,7,0,False,False,False,True,False,False,False,5,1,0.875,181.13793103448276,1,3.25
49,1,10965,8,26,5,2,2,2,3,3,3,3,4,0,24,0,0,2,7,3,0,0,0,True,False,False,False,False,False,False,4,1,4.333333333333333,219.3,3,2.75
51,0,4936,4,18,7,7,3,3,2,4,3,2,3,0,11,0,1,2,14,2,0,7,1,False,False,False,True,False,False,False,5,1,2.25,94.92307692307692,4,3.0
36,0,2543,4,6,2,2,4,3,1,3,2,3,3,0,13,0,1,3,2,3,2,2,1,True,False,False,True,False,False,False,2,1,2.0,68.72972972972973,2,3.0
34,1,5304,8,9,5,2,1,4,2,4,2,2,3,1,13,1,0,3,19,3,0,4,0,False,False,False,False,True,False,False,5,0,1.5,151.54285714285714,2,2.25
55,0,16659,2,30,5,4,3,3,4,4,3,3,3,1,13,0,0,2,2,3,1,2,0,True,False,False,True,False,False,False,8,1,5.0,297.48214285714283,4,3.25
24,0,4260,1,5,5,2,4,3,2,3,4,4,3,1,12,0,1,2,10,4,0,3,0,False,False,False,False,True,False,False,5,1,0.8333333333333334,170.4,1,3.75
30,1,2476,1,1,1,0,3,3,1,2,1,3,3,0,18,0,1,3,2,1,0,0,1,False,False,True,False,False,False,False,6,1,0.5,79.87096774193549,1,2.25
26,1,3102,0,7,6,4,3,3,1,1,3,3,4,0,22,1,0,2,3,1,0,4,0,True,False,True,False,False,False,False,2,2,1.0,114.88888888888889,1,2.5
22,0,2244,1,2,2,1,1,3,1,2,4,3,3,0,13,0,1,1,11,3,1,2,1,True,False,False,False,False,False,True,2,1,0.6666666666666666,97.56521739130434,1,2.5
36,1,7596,1,10,10,9,2,2,3,3,2,3,3,0,13,0,2,2,2,2,9,0,1,False,False,False,False,False,False,True,5,1,0.9090909090909091,205.2972972972973,2,2.5
30,1,2285,9,3,1,0,3,3,1,4,3,3,4,1,23,1,0,4,4,3,0,0,0,True,False,True,False,False,False,False,2,2,1.5,73.70967741935483,1,3.25
37,0,3034,1,18,18,7,4,3,1,1,3,2,3,0,12,0,1,2,14,3,12,17,0,True,False,False,True,False,False,False,1,1,0.9473684210526315,79.84210526315789,2,2.5
40,0,5715,7,8,5,4,4,3,2,2,3,3,3,0,12,0,2,5,2,2,1,3,0,False,False,False,False,True,False,False,5,1,1.3333333333333333,139.390243902439,2,3.0
42,0,2576,3,8,5,2,2,3,1,1,2,3,3,0,16,0,1,5,1,4,1,2,0,True,False,False,True,False,False,False,1,1,1.3333333333333333,59.906976744186046,3,2.0
37,1,4197,2,18,1,0,3,3,2,2,4,2,3,1,12,0,0,2,10,4,0,1,0,True,False,False,True,False,False,False,3,1,9.0,110.44736842105263,2,2.75
43,1,14336,1,25,25,10,1,2,4,2,3,3,3,0,11,0,1,3,12,3,3,9,0,True,False,False,True,False,False,False,7,1,0.9615384615384616,325.8181818181818,3,2.25
40,0,3448,6,20,1,0,2,2,2,3,2,3,4,0,22,0,1,3,2,3,0,0,1,True,False,False,False,False,False,True,1,1,10.0,84.09756097560975,2,2.5
54,1,19406,4,24,4,2,1,3,5,1,3,2,3,0,11,0,1,4,5,2,1,2,1,True,False,False,False,False,False,True,7,1,4.8,352.8363636363636,4,1.75
34,0,6538,9,6,3,2,3,3,2,3,1,3,3,0,15,0,1,3,4,4,1,2,1,False,False,False,False,True,False,False,5,0,1.5,186.8,2,2.5
31,0,4306,1,13,13,10,2,3,2,1,2,1,3,0,12,0,1,5,7,2,3,12,1,True,False,False,False,False,False,True,3,1,0.9285714285714286,134.5625,2,1.5
43,1,2258,7,8,3,2,4,3,1,4,1,3,4,0,20,0,1,1,21,3,1,2,1,True,False,False,False,False,False,True,1,2,2.0,51.31818181818182,3,3.0
43,0,4522,4,8,5,2,3,3,2,3,4,3,3,1,14,0,0,3,8,4,0,2,0,True,False,False,False,False,False,False,4,1,1.3333333333333333,102.77272727272727,3,3.25
25,0,4487,1,5,5,4,2,2,2,4,2,3,3,1,11,0,0,3,4,2,1,3,0,False,False,False,True,False,False,False,5,1,0.8333333333333334,172.57692307692307,1,2.75
37,0,4449,3,15,13,11,2,3,2,3,1,3,3,1,15,0,2,2,25,5,10,7,1,True,False,False,False,False,False,True,2,0,1.0714285714285714,117.07894736842105,2,2.25
31,1,2218,1,4,4,2,4,2,1,1,3,3,3,0,12,0,1,3,1,2,3,2,1,True,False,False,True,False,False,False,1,1,0.8,69.3125,2,2.75
39,1,19197,1,21,21,8,2,3,5,3,3,3,3,1,14,0,1,3,1,1,1,6,0,True,False,False,True,False,False,False,8,2,0.9545454545454546,479.925,2,2.75
56,0,13212,9,36,7,7,3,4,4,1,4,2,3,0,11,0,3,0,6,3,7,7,1,False,False,False,True,False,False,False,5,2,4.5,231.78947368421052,4,2.5
30,0,6577,0,6,5,4,2,3,2,3,2,3,3,0,11,0,0,6,12,3,4,4,0,False,False,True,False,False,False,False,5,1,1.0,212.16129032258064,1,2.5
41,1,8392,1,10,10,7,2,4,3,1,3,3,3,0,16,0,1,2,1,3,0,7,1,False,False,False,False,True,False,False,5,1,0.9090909090909091,199.8095238095238,3,2.25
28,1,4558,1,10,10,0,3,3,2,1,4,3,3,0,12,0,1,2,17,2,1,8,0,True,False,False,False,False,False,True,1,1,0.9090909090909091,157.17241379310346,1,2.75
25,1,4031,5,6,2,2,1,3,1,1,3,3,3,0,13,1,1,5,3,3,0,2,1,True,False,False,False,False,False,True,1,1,2.0,155.03846153846155,1,2.0
52,1,7969,2,28,5,4,4,2,3,3,3,3,3,1,14,0,0,4,3,3,0,4,1,True,False,False,False,False,False,True,3,1,4.666666666666667,150.35849056603774,4,3.25
45,1,2654,3,8,2,2,1,3,1,4,4,2,4,0,21,0,2,3,10,2,0,2,1,True,False,False,True,False,False,False,2,1,2.6666666666666665,57.69565217391305,3,2.75
52,0,16555,2,31,5,2,4,3,4,4,4,1,3,0,13,0,0,2,4,2,1,4,1,True,False,False,True,False,False,False,8,1,5.166666666666667,312.35849056603774,4,3.25
42,0,4556,2,19,5,4,1,3,2,3,2,3,3,0,11,0,1,3,29,2,0,2,0,True,False,False,True,False,False,False,2,2,3.1666666666666665,105.95348837209302,3,2.25
30,0,6091,2,11,5,4,3,1,2,4,3,3,4,0,20,0,0,2,2,3,0,2,0,True,False,False,True,False,False,False,3,1,1.8333333333333333,196.48387096774192,1,3.25
60,0,19566,5,33,29,8,1,3,5,1,4,1,3,0,11,0,0,5,7,3,11,10,1,True,False,False,True,False,False,False,8,1,1.1,320.75409836065575,4,1.75
46,0,4810,2,19,10,7,3,3,2,3,3,2,3,0,14,0,1,5,18,3,0,8,0,True,False,False,False,False,False,True,3,1,1.7272727272727273,102.34042553191489,3,2.75
42,0,4523,0,7,6,5,4,2,2,4,4,4,3,0,11,0,3,4,28,4,0,4,1,True,False,True,False,False,False,False,4,2,1.0,105.18604651162791,3,4.0
24,0,3202,1,6,5,3,1,3,1,2,2,3,3,1,16,1,0,4,1,1,1,4,0,False,False,True,False,False,False,False,6,1,1.0,128.08,1,2.0
34,0,2351,0,3,2,2,4,1,1,3,4,2,3,0,16,1,1,3,6,2,1,0,0,False,False,False,False,True,False,False,6,2,1.0,67.17142857142858,2,3.25
38,1,1702,1,1,1,0,4,3,1,4,3,3,4,1,23,0,1,3,2,2,0,0,1,True,False,False,True,False,False,False,1,2,0.5,43.64102564102564,2,3.5
40,0,18041,0,21,20,15,3,3,5,3,4,3,3,0,14,0,0,2,2,4,1,12,1,False,False,False,True,False,False,False,8,1,1.0,440.0243902439024,2,3.25
26,0,2886,1,3,3,2,1,3,1,4,2,1,4,0,22,0,2,3,23,3,0,2,0,True,False,False,True,False,False,False,2,1,0.75,106.88888888888889,1,2.0
30,1,2097,4,9,5,3,3,3,1,4,3,1,3,0,15,0,1,3,3,3,1,4,1,True,False,False,True,False,False,False,1,0,1.5,67.64516129032258,1,2.75
29,1,11935,1,10,10,2,2,2,3,3,3,3,3,0,18,0,0,2,3,4,0,7,1,True,False,False,False,False,False,True,7,1,0.9090909090909091,397.8333333333333,1,2.75
29,0,2546,5,6,2,2,3,2,1,2,2,4,3,0,16,1,0,2,25,5,1,1,1,True,False,True,False,False,False,False,2,1,2.0,84.86666666666666,1,2.75
19,1,2564,1,1,1,0,1,2,1,4,3,4,3,0,12,1,0,3,2,2,0,0,0,False,True,True,False,False,False,False,4,1,0.5,128.2,0,3.0
30,0,8412,0,10,9,8,3,3,3,1,3,3,3,0,11,0,0,3,22,4,7,8,1,False,False,False,False,False,False,False,5,0,1.0,271.35483870967744,1,2.5
57,1,14118,3,32,1,0,1,2,4,4,3,2,3,0,12,0,1,3,29,3,0,0,0,False,False,False,False,True,False,False,8,1,16.0,243.41379310344828,4,2.5
50,1,17046,0,28,27,10,2,2,4,3,2,3,3,0,15,0,1,2,29,4,15,7,1,True,False,False,True,False,False,False,8,1,1.0,334.2352941176471,3,2.5
30,0,2564,0,12,11,7,3,3,1,4,3,2,3,0,14,0,0,2,2,3,6,7,0,True,False,False,False,False,False,True,1,0,1.0,82.70967741935483,1,3.0
60,0,10266,4,22,18,13,3,2,3,1,4,4,3,0,19,0,0,5,28,3,13,11,1,False,False,False,False,True,False,False,5,2,1.1578947368421053,168.29508196721312,4,3.0
47,0,5070,5,20,5,0,1,3,2,4,3,3,3,0,13,0,3,2,2,2,0,4,0,True,False,False,False,False,False,True,3,1,3.3333333333333335,105.625,3,2.75
46,1,17861,6,26,3,2,1,3,4,3,3,1,3,0,13,0,0,2,2,3,0,1,1,True,False,False,True,False,False,False,7,1,6.5,380.02127659574467,3,2.0
35,1,4230,0,6,5,4,4,1,1,3,3,3,3,0,15,0,0,2,22,3,4,3,0,True,False,False,True,False,False,False,1,1,1.0,117.5,2,3.25
54,0,3780,7,19,1,0,3,3,2,3,3,3,3,0,11,0,0,3,8,4,0,0,0,True,False,False,True,False,False,False,1,1,9.5,68.72727272727273,4,3.0
34,1,2768,3,14,7,3,4,2,1,3,3,3,3,0,12,0,1,3,2,4,5,7,0,True,False,False,True,False,False,False,2,1,1.75,79.08571428571429,2,3.25
46,0,9071,2,15,3,2,3,2,3,4,3,3,3,1,19,0,1,3,10,3,1,2,1,False,False,False,False,True,False,False,5,1,3.75,193.0,3,3.25
31,1,10648,1,13,13,8,3,3,3,2,4,4,4,0,25,0,1,6,9,1,0,8,0,True,False,False,True,False,False,False,3,1,0.9285714285714286,332.75,2,3.25
33,1,13610,7,15,7,6,2,3,3,3,4,4,3,1,12,1,0,2,15,1,7,7,1,True,False,False,False,False,False,True,8,1,1.875,400.29411764705884,2,3.25
33,1,3408,7,8,4,3,1,1,1,4,1,3,3,0,13,1,3,2,10,1,1,3,0,True,False,False,False,False,False,True,1,1,1.6,100.23529411764706,2,2.25
30,1,2983,0,4,3,2,4,3,1,2,1,3,3,0,14,0,0,3,7,1,1,2,0,False,False,False,False,True,False,False,6,1,1.0,96.2258064516129,1,2.5
35,1,7632,4,10,8,7,4,3,3,3,3,3,3,1,12,0,0,2,16,3,0,0,1,True,False,False,True,False,False,False,4,1,1.1111111111111112,212.0,2,3.25
31,1,9824,3,12,1,0,1,3,3,3,1,3,3,0,12,1,0,2,20,3,0,0,1,True,False,False,True,False,False,False,4,2,6.0,307.0,2,2.0
34,0,9950,9,11,3,2,2,3,3,1,3,3,3,1,15,1,3,2,23,3,0,2,0,False,True,False,False,False,True,False,4,2,2.75,284.2857142857143,2,2.25
42,1,2093,4,8,2,2,2,3,1,3,4,3,3,0,17,0,1,4,5,2,2,0,1,True,False,False,False,False,False,False,1,2,2.6666666666666665,48.674418604651166,3,3.0
36,1,9980,1,10,10,3,2,3,3,4,4,2,3,0,14,0,0,3,10,4,9,7,0,False,False,False,False,False,False,True,5,0,0.9090909090909091,269.72972972972974,2,3.0
22,1,3894,5,4,2,2,3,2,1,3,3,3,3,0,16,1,0,3,4,1,1,2,0,True,False,True,False,False,False,False,1,2,1.3333333333333333,169.30434782608697,1,3.0
48,0,4051,2,14,9,7,2,3,2,4,1,3,3,0,14,0,1,2,2,5,6,7,1,False,False,False,False,True,False,False,5,1,1.4,82.6734693877551,3,2.5
55,0,16835,3,37,10,9,1,3,4,2,4,3,4,0,23,0,0,2,18,5,7,7,0,False,False,False,True,False,False,False,8,1,3.3636363636363638,300.625,4,2.5
41,1,6230,7,16,14,3,4,3,2,4,4,3,3,0,14,0,0,3,10,2,1,10,0,False,False,False,True,False,False,False,5,0,1.0666666666666667,148.33333333333334,3,3.75
35,1,4717,9,15,11,9,2,3,2,3,3,3,3,0,11,0,0,2,1,3,6,9,1,False,False,False,False,True,False,False,5,1,1.25,131.02777777777777,2,2.75
40,0,13237,7,22,20,6,2,3,4,3,3,3,3,0,15,0,0,3,6,3,5,13,0,True,False,False,True,False,False,False,3,1,1.0476190476190477,322.8536585365854,2,2.75
39,0,3755,1,8,8,3,3,3,1,3,1,3,3,0,11,0,1,3,8,1,0,7,1,True,False,False,True,False,False,False,1,2,0.8888888888888888,93.875,2,2.5
31,1,6582,4,10,6,5,2,3,2,4,3,4,3,1,13,0,0,2,2,1,0,5,0,False,False,False,True,False,False,False,5,1,1.4285714285714286,205.6875,2,3.25
42,1,7406,1,10,10,9,4,3,3,1,4,2,4,1,21,0,1,5,24,3,5,8,1,True,False,False,False,False,False,True,3,1,0.9090909090909091,172.2325581395349,3,2.75
45,1,4805,0,9,8,7,4,3,2,2,2,4,3,0,19,0,1,3,2,3,3,7,1,False,False,False,False,False,False,False,5,1,1.0,104.45652173913044,3,3.0
26,0,2741,0,8,7,7,2,3,1,3,2,2,3,1,11,1,1,2,17,4,1,0,0,False,True,False,True,False,False,False,4,2,1.0,101.51851851851852,1,2.25
29,1,4262,4,8,3,2,4,3,2,4,2,4,3,0,12,0,2,2,19,3,1,2,0,True,False,True,False,False,False,False,3,1,2.0,142.06666666666666,1,3.5
33,0,16184,4,10,6,1,1,4,4,3,3,3,3,0,19,0,1,2,1,5,0,5,0,True,False,False,False,False,False,True,7,1,1.4285714285714286,476.0,2,2.5
31,1,11557,9,10,5,4,3,2,3,4,3,2,4,0,21,0,1,3,7,3,0,1,0,False,False,False,True,False,False,False,8,1,1.6666666666666667,361.15625,2,3.0
18,1,1878,1,0,0,0,2,3,1,2,4,3,3,1,14,1,0,3,5,3,0,0,0,False,False,False,False,True,False,False,6,2,0.0,98.84210526315789,0,2.75
40,1,10932,3,20,1,0,3,1,3,1,3,3,3,0,15,0,1,2,28,3,0,1,0,False,False,False,False,False,False,False,5,0,10.0,266.6341463414634,2,2.5
41,0,6811,2,10,8,7,1,2,2,3,1,3,3,1,17,0,0,3,2,4,0,7,0,True,False,False,False,False,False,False,4,0,1.1111111111111112,162.16666666666666,3,2.0
26,1,4306,5,8,0,0,1,3,2,3,1,3,3,0,12,0,2,5,29,2,0,0,0,False,False,False,False,False,False,True,5,1,8.0,159.4814814814815,1,2.0
35,0,4859,1,5,5,4,1,3,2,3,4,3,3,0,16,0,0,3,1,3,0,3,0,False,False,False,False,False,False,True,5,1,0.8333333333333334,134.97222222222223,2,2.75
34,1,5337,1,10,10,7,4,4,2,4,4,3,3,0,12,0,0,3,21,4,5,7,0,False,False,False,True,False,False,False,5,1,0.9090909090909091,152.4857142857143,2,3.75
26,1,2340,1,1,1,0,3,1,1,4,2,1,3,1,18,1,0,3,24,3,0,0,0,True,False,True,False,False,False,False,1,1,0.5,86.66666666666667,1,2.5
37,0,7491,4,12,6,5,2,3,3,4,4,4,3,0,17,0,0,3,1,3,1,2,0,True,False,True,False,False,False,False,3,1,1.7142857142857142,197.1315789473684,2,3.5
46,0,10527,5,28,2,2,1,3,3,3,4,2,3,0,11,0,0,3,18,1,1,2,1,True,False,False,False,False,False,True,4,2,9.333333333333334,223.9787234042553,3,2.5
41,0,16595,7,22,18,16,2,3,4,1,2,3,3,0,16,0,1,2,2,5,11,8,1,False,False,False,True,False,False,False,8,1,1.1578947368421053,395.1190476190476,3,2.0
37,1,8834,1,9,9,5,1,3,3,2,4,3,3,0,13,0,1,6,9,4,7,7,0,False,False,False,False,False,False,True,5,0,0.9,232.47368421052633,2,2.5
52,1,5577,3,18,10,9,4,3,2,1,2,3,3,1,12,0,2,3,6,2,6,9,0,True,False,True,False,False,False,False,2,1,1.6363636363636365,105.22641509433963,4,2.5
32,1,4707,8,6,4,2,4,4,2,3,4,3,3,0,12,1,0,2,11,4,1,2,1,False,False,False,False,False,False,False,5,0,1.2,142.63636363636363,2,3.5
24,1,2400,0,3,2,2,4,3,1,4,3,3,3,0,13,0,2,3,24,3,2,1,1,False,False,False,False,False,False,True,6,2,1.0,96.0,1,3.5
38,0,9824,3,18,1,0,3,3,2,3,3,3,3,0,19,0,1,4,10,3,0,0,1,True,False,False,False,False,False,True,4,1,9.0,251.89743589743588,2,3.0
37,0,6447,6,8,6,5,2,3,2,2,2,2,3,0,12,0,1,2,1,4,4,3,1,True,False,False,True,False,False,False,3,1,1.1428571428571428,169.6578947368421,2,2.0
49,1,19502,1,31,31,9,4,2,5,3,3,3,3,1,17,0,1,5,18,4,0,9,0,True,False,False,True,False,False,False,7,1,0.96875,390.04,3,3.25
24,1,2725,1,6,6,5,2,4,1,4,2,3,3,1,11,0,2,3,23,3,1,4,1,True,False,False,False,False,False,True,2,1,0.8571428571428571,109.0,1,2.75
26,1,6272,1,6,5,3,1,3,2,2,4,4,4,0,20,0,2,5,28,2,1,4,1,False,False,False,False,True,False,False,5,1,1.0,232.2962962962963,1,2.75
24,1,2127,1,1,1,0,4,2,1,2,4,3,4,0,21,0,1,2,17,2,0,0,1,True,False,False,False,False,False,False,1,1,0.5,85.08,1,3.25
50,1,18200,1,32,32,5,1,3,5,2,3,3,3,0,11,0,1,2,3,3,10,7,1,False,True,False,False,False,False,True,8,2,0.9696969696969697,356.8627450980392,3,2.25
25,1,2096,1,7,7,4,2,3,1,3,3,3,3,0,11,0,0,1,13,1,0,6,1,False,False,False,False,False,False,True,6,1,0.875,80.61538461538461,1,2.75
24,0,2886,1,6,6,3,1,3,1,3,4,3,3,1,16,1,1,4,7,3,1,2,1,True,False,False,True,False,False,False,1,2,0.8571428571428571,115.44,1,2.75
30,1,2033,1,1,1,0,2,2,1,1,3,4,3,0,18,1,1,2,12,4,0,0,1,False,False,False,True,False,False,False,6,2,0.5,65.58064516129032,1,2.5
34,1,3622,1,6,6,5,2,2,1,4,4,3,3,1,13,0,1,3,1,2,1,3,1,True,False,False,True,False,False,False,2,1,0.8571428571428571,103.48571428571428,2,3.25
31,1,4233,2,9,3,1,2,3,2,1,3,1,3,0,17,1,0,2,13,4,1,2,0,False,False,False,False,False,False,True,5,1,2.25,132.28125,2,1.75
35,1,3681,4,9,3,2,1,2,2,4,4,3,3,0,14,0,0,3,25,2,0,2,0,True,False,False,False,False,False,False,1,1,2.25,102.25,2,3.0
31,1,5460,4,13,7,7,1,4,2,4,4,4,4,0,22,0,2,4,6,4,5,7,0,False,False,False,False,False,False,True,5,1,1.625,170.625,2,3.25
27,0,2187,0,6,5,3,1,2,1,3,3,2,3,0,12,0,2,5,6,4,0,3,0,True,False,False,False,False,False,True,2,1,1.0,78.10714285714286,1,2.25
37,1,9602,4,17,3,0,4,3,2,3,3,2,3,1,11,0,1,3,2,3,1,0,1,False,False,False,False,True,False,False,5,1,4.25,252.68421052631578,2,3.0
20,0,2836,1,1,1,0,4,2,1,2,4,4,3,0,13,0,0,0,1,3,0,0,0,True,False,False,True,False,False,False,2,1,0.5,135.04761904761904,0,3.5
42,0,4089,1,10,10,2,3,3,2,4,2,3,3,0,13,0,2,4,2,4,2,2,1,True,False,False,True,False,False,False,4,1,0.9090909090909091,95.09302325581395,3,3.0
43,1,16627,4,21,1,0,2,2,4,4,3,2,3,1,14,0,1,3,6,4,0,0,0,True,False,False,False,False,False,False,7,1,10.5,377.8863636363636,3,2.75
38,0,2619,3,8,0,0,3,3,1,1,4,2,3,0,17,0,0,3,1,1,0,0,0,True,False,False,True,False,False,False,2,1,8.0,67.15384615384616,2,2.5
43,1,5679,3,10,8,7,4,3,2,3,2,3,3,1,13,0,1,3,9,5,4,7,0,True,False,False,False,False,False,True,1,2,1.1111111111111112,129.0681818181818,3,3.0
48,0,15402,7,21,3,2,4,2,4,1,1,1,3,0,11,0,1,3,1,4,0,2,1,True,False,False,True,False,False,False,8,1,5.25,314.3265306122449,3,1.75
44,0,5985,4,10,2,2,1,2,2,3,2,4,3,0,11,0,0,1,1,4,0,2,0,False,True,False,True,False,False,False,4,1,3.3333333333333335,133.0,3,2.5
34,0,2579,1,8,8,2,3,3,1,3,4,3,3,1,18,0,2,3,14,3,0,6,0,False,False,True,False,False,False,False,6,1,0.8888888888888888,73.68571428571428,2,3.25
27,1,3041,0,5,4,3,3,3,1,1,2,3,3,0,11,1,1,3,2,1,0,2,0,False,False,False,False,True,False,False,6,1,1.0,108.60714285714286,1,2.25
21,1,3447,1,3,3,2,3,3,1,3,3,3,3,0,11,0,0,2,22,1,1,2,0,False,False,True,False,False,False,False,6,1,0.75,156.6818181818182,1,3.0
44,1,19513,4,26,2,2,4,3,5,4,1,4,3,1,12,0,1,2,3,4,0,1,1,True,False,False,False,False,False,False,8,1,8.666666666666666,433.6222222222222,3,3.25
22,1,2773,0,3,2,2,1,3,1,3,4,3,4,0,20,0,0,3,6,1,2,2,1,True,False,False,False,False,False,True,2,1,1.0,120.56521739130434,1,2.75
33,1,7104,0,6,5,0,3,3,2,3,4,3,3,0,12,0,0,3,8,4,1,2,0,False,False,False,False,True,False,False,5,1,1.0,208.94117647058823,2,3.25
32,0,6322,1,6,6,4,1,3,2,4,4,2,3,1,12,0,1,2,9,4,0,5,1,True,False,False,True,False,False,False,2,1,0.8571428571428571,191.57575757575756,2,2.75
30,0,2083,1,1,1,0,3,3,1,3,3,3,4,0,20,0,1,2,3,3,0,0,0,True,False,False,False,False,False,True,2,2,0.5,67.19354838709677,1,3.0
53,0,8381,7,18,14,7,4,3,2,1,4,4,4,0,20,0,0,2,1,1,8,10,0,False,False,False,False,False,False,True,5,1,1.2,155.2037037037037,4,3.25
34,1,2691,1,10,10,9,2,3,1,4,4,2,3,0,12,0,1,4,1,5,8,8,1,True,False,False,True,False,False,False,2,1,0.9090909090909091,76.88571428571429,2,3.0
45,0,4286,2,5,1,1,1,3,2,1,4,3,3,0,14,1,2,4,26,4,0,0,1,False,False,False,True,False,False,False,5,2,2.5,93.17391304347827,3,2.25
26,0,2659,1,3,3,2,3,3,1,4,3,3,3,1,13,0,1,2,6,3,0,2,1,True,False,False,True,False,False,False,1,1,0.75,98.48148148148148,1,3.25
37,1,9434,1,10,10,7,3,3,3,3,3,3,3,0,15,0,1,2,3,3,7,8,1,True,False,False,False,False,False,False,3,1,0.9090909090909091,248.26315789473685,2,3.0
29,0,5561,1,6,6,0,2,3,2,3,1,2,3,0,14,0,1,5,3,2,1,2,1,False,False,False,False,False,False,True,5,1,0.8571428571428571,185.36666666666667,1,2.0
35,1,6646,1,17,17,11,2,1,2,4,2,3,3,0,13,0,0,3,6,4,11,8,0,True,False,False,True,False,False,False,2,1,0.9444444444444444,184.61111111111111,2,2.75
33,1,7725,3,15,13,11,3,3,2,4,3,1,4,0,23,0,1,2,6,3,4,7,0,True,False,False,True,False,False,False,4,2,1.0714285714285714,227.2058823529412,2,2.75
54,1,10725,2,16,9,7,3,3,3,2,3,4,3,0,15,0,1,1,19,4,7,1,1,False,True,False,False,False,False,True,4,1,1.6,195.0,4,3.0
36,1,8847,2,13,3,2,2,2,2,2,3,3,3,1,11,0,1,2,9,2,0,2,0,True,False,False,False,False,False,True,3,1,3.25,239.1081081081081,2,2.5
27,1,2045,0,5,4,2,1,2,1,4,4,3,3,0,13,0,0,0,3,4,1,1,0,True,False,False,False,False,False,True,2,1,1.0,73.03571428571429,1,3.0
20,1,1009,1,1,1,0,4,3,1,3,4,3,3,1,11,1,0,5,10,1,1,1,0,True,False,False,False,False,False,True,2,1,0.5,48.04761904761905,0,3.5
33,1,3348,1,10,10,8,1,3,1,1,1,3,3,1,11,1,0,3,3,3,9,7,0,True,False,False,True,False,False,False,2,2,0.9090909090909091,98.47058823529412,2,1.5
